"","X","id","Handle","Text","Author","Category","Retweets","Favorites","first_word","second_word","third_word"
"2116",15823,2116,"TheSongMsgs","if i could fly","one direction","Song Lyric",329,323,"fli",NA,NA
"2117",15830,2117,"TheSongMsgs","The more boys I meet, the more I love my dog.","Carrie Underwood","Song Lyric",201,273,"dog","meet","boy"
"2118",15846,2118,"TheSongMsgs","Bad times make the good times better.","Frankie Ballard","Song Lyric",371,299,"time","bad","better"
"2119",15847,2119,"TheSongMsgs","Life is rough, so you gotta be tough.","Johnny Cash","Song Lyric",483,360,"rough","tough","gotta"
"2120",15848,2120,"TheSongMsgs","Don’t leave her, if you can’t let her go.","Chris Young","Song Lyric",448,418,"can’t","don’t","leav"
"2121",15851,2121,"TheSongMsgs","Heaven help the fool who did her wrong.","Clay Walker","Song Lyric",145,177,"heaven","fool","help"
"2122",15860,2122,"TheSongMsgs","You can get addicted to a certain kinda sadness.","Gotye","Song Lyric",388,378,"addict","certain","sad"
"2123",15862,2123,"TheSongMsgs","Music today. 

Music tomorrow. 

Music forever.","Unknown","Song Lyric",3934,2626,"music","forev","tomorrow"
"2124",15867,2124,"TheSongMsgs","I fall in love all over, every time I look at you.","Tim McGraw","Song Lyric",426,417,"fall","everi","look"
"2125",15870,2125,"TheSongMsgs","You make me crazy, and I kinda like it.","Brett Eldredge","Song Lyric",234,228,"crazi","kinda","make"
"2126",15877,2126,"TheSongMsgs","Always give more than you take.","Rascal Flatts","Song Lyric",264,231,"take","give","alway"
"2127",15879,2127,"TheSongMsgs","I'm stronger than I've ever been","Demi Lovato","Song Lyric",569,434,"stronger","ive","ever"
"2128",15880,2128,"TheSongMsgs","“It's my mouth I can say what I want to.","Miley Cyrus","Song Lyric",509,373,"mouth","say","want"
"2129",15890,2129,"TheSongMsgs","Gotta keep it together even when you fall apart.","Miranda Lambert","Song Lyric",178,218,"apart","togeth","gotta"
"2130",15895,2130,"TheSongMsgs","“All I want is the taste that your lips allow.","Ed Sheeran","Song Lyric",582,623,"allow","tast","lip"
"2131",15909,2131,"TheSongMsgs","Don’t leave her, if you can’t let her go.","Chris Young","Song Lyric",323,291,"can’t","don’t","leav"
"2132",15912,2132,"TheSongMsgs","Heaven help the fool who did her wrong.","Clay Walker","Song Lyric",145,187,"heaven","fool","help"
"2133",15921,2133,"TheSongMsgs","Don’t leave her, if you can’t let her go.","Chris Young","Song Lyric",463,415,"can’t","don’t","leav"
"2134",15925,2134,"TheSongMsgs","Gotta keep it together even when you fall apart.","Miranda Lambert","Song Lyric",264,258,"apart","togeth","gotta"
"2135",15931,2135,"TheSongMsgs","A little messed up, but we’re all alright.","Kenny Chesney","Song Lyric",237,236,"alright","’re","mess"
"2136",15950,2136,"TheSongMsgs","“Some nights I'm scared you'll forget me again.","Fun","Song Lyric",788,631,"scare","youll","forget"
"2137",15952,2137,"TheSongMsgs","Look for the girl with the broken smile.","Maroon 5","Song Lyric",3330,2723,"broken","girl","look"
"2138",15954,2138,"TheSongMsgs","Everything you do is magic.","One Direction","Song Lyric",732,556,"magic","everyth",NA
"2139",15956,2139,"TheSongMsgs","I tell myself that I'll be strong.","Ellie Goulding","Song Lyric",1082,655,"strong","tell","ill"
"2140",15958,2140,"TheSongMsgs","Just because I'm losing, doesn't mean I'm lost","Coldplay","Song Lyric",937,696,"lost","doesnt","mean"
"2141",15961,2141,"TheSongMsgs","Are we friends or are we more?","One Direction","Song Lyric",731,670,"friend",NA,NA
"2142",15966,2142,"TheSongMsgs","You know I never wanna hurt you.","Jordin Sparks","Song Lyric",393,321,"wanna","hurt","know"
"2143",15970,2143,"TheSongMsgs","Bad times make the good times better.","Frankie Ballard","Song Lyric",479,390,"time","bad","better"
"2144",15977,2144,"TheSongMsgs","Smiling but we're close to tears.","The Script","Song Lyric",1034,806,"close","tear","smile"
"2145",15985,2145,"TheSongMsgs","Forget the haters, because somebody loves you.","Miley Cyrus","Song Lyric",667,513,"hater","somebodi","forget"
"2146",15990,2146,"TheSongMsgs","Love hurts whether it's right or wrong.","Avril Lavigne","Song Lyric",3773,2741,"whether","hurt","right"
"2147",16002,2147,"TheSongMsgs","Dreaming dreams with happy endings.","Taylor Swift","Song Lyric",908,625,"dream","end","happi"
"2148",16024,2148,"TheSongMsgs","Wherever you are, you are forever on my mind","Ke$ha","Song Lyric",587,505,"wherev","forev","mind"
"2149",16029,2149,"TheSongMsgs","You can get addicted to a certain kinda sadness.","Gotye","Song Lyric",493,458,"addict","certain","sad"
"2150",16038,2150,"TheSongMsgs","Nevermind, I'll find someone like you","Adele","Song Lyric",1999,1682,"nevermind","someon","ill"
"2151",16040,2151,"TheSongMsgs","My heart breaks a little when I hear your name","Bruno Mars","Song Lyric",3261,2603,"name","break","hear"
"2152",16048,2152,"TheSongMsgs","My heart breaks a little when I hear your name","Bruno Mars","Song Lyric",872,688,"name","break","hear"
"2153",16064,2153,"TheSongMsgs","Just to see you smile, I would do anything.","Tim McGraw","Song Lyric",397,374,"anyth","see","smile"
"2154",16072,2154,"TheSongMsgs","Why are you the one I want.","Jake Owen","Song Lyric",384,369,"one","want",NA
"2155",16073,2155,"TheSongMsgs","Smiling but we're close to tears.","The Script","Song Lyric",1001,818,"close","tear","smile"
"2156",16075,2156,"TheSongMsgs","I can't wait to get my hands on you. SamHunt","Unknown","Song Lyric",254,331,"hand","samhunt","wait"
"2157",16083,2157,"TheSongMsgs","You can get addicted to a certain kinda sadness.","Gotye","Song Lyric",626,585,"addict","certain","sad"
"2158",16086,2158,"TheSongMsgs","I like the way you smile with your eyes.","One Direction","Song Lyric",1134,929,"eye","smile","way"
"2159",16087,2159,"TheSongMsgs","Nevermind, I'll find someone like you","Adele","Song Lyric",864,770,"nevermind","someon","ill"
"2160",16088,2160,"TheSongMsgs","All I know is I love you too much to walk away.","Eminem ft. Rihanna","Song Lyric",941,857,"walk","away","much"
"2161",16091,2161,"TheSongMsgs","I like the way you smile with your eyes.","Unknown","Song Lyric",913,639,"eye","smile","way"
"2162",16095,2162,"TheSongMsgs","You can get addicted to a certain kinda sadness.","Gotye","Song Lyric",552,499,"addict","certain","sad"
"2163",16099,2163,"TheSongMsgs","You play my heart like it's a game.","Demi Lovato","Song Lyric",998,728,"game","play","heart"
"2164",16103,2164,"TheSongMsgs","Wherever you are, you are forever on my mind","Ke$ha","Song Lyric",726,606,"wherev","forev","mind"
"2165",16104,2165,"TheSongMsgs","If I get a little prettier, can I be your baby?","Lana Del Rey","Song Lyric",771,753,"prettier","babi","littl"
"2166",16106,2166,"TheSongMsgs","Just stop, for a minute and smile.","Jessie J","Song Lyric",2539,1811,"minut","stop","smile"
"2167",16123,2167,"TheSongMsgs","But the memory of a first love never fades away.","Unknown","Song Lyric",368,499,"fade","away","first"
"2168",16130,2168,"TheSongMsgs","If I get a little prettier, can I be your baby?","Lana Del Rey","Song Lyric",1256,1139,"prettier","babi","littl"
"2169",16132,2169,"TheSongMsgs","You find strength in your moments of weakness.","Unknown","Song Lyric",407,395,"strength","moment","weak"
"2170",16134,2170,"TheSongMsgs","“But when it comes to you, I’m never good enough.","Demi Lovato","Song Lyric",1593,1340,"enough","good","come"
"2171",16135,2171,"TheSongMsgs","I was so stupid for letting you go.","One Direction","Song Lyric",1093,1097,"stupid","let",NA
"2172",16145,2172,"TheSongMsgs","“All I want is the taste that your lips allow.","Ed Sheeran","Song Lyric",1398,1369,"allow","tast","lip"
"2173",16156,2173,"TheSongMsgs","Dreaming dreams with happy endings.","Taylor Swift","Song Lyric",1533,1127,"dream","end","happi"
"2174",16172,2174,"TheSongMsgs","He'd say Music was the home for your pain.","The Script","Song Lyric",642,553,"hed","pain","home"
"2175",16178,2175,"TheSongMsgs","Everything you do is magic.","One Direction","Song Lyric",901,699,"magic","everyth",NA
"2176",16184,2176,"TheSongMsgs","I've seen love die way too many times","Paramore","Song Lyric",789,613,"mani","seen","ive"
"2177",16190,2177,"TheSongMsgs","“All I want is the taste that your lips allow.","Ed Sheeran","Song Lyric",737,690,"allow","tast","lip"
"2178",16194,2178,"TheSongMsgs","All I know is I love you too much to walk away.","Eminem ft. Rihanna","Song Lyric",897,822,"walk","away","much"
"2179",16201,2179,"TheSongMsgs","I won't let you close enough to hurt me.","Adele","Song Lyric",753,567,"wont","enough","close"
"2180",16204,2180,"TheSongMsgs","Just to see you smile, I would do anything.","Tim McGraw","Song Lyric",490,386,"anyth","see","smile"
